guid,pubDate,mp_profile_url,mp_short_nm,min_title,deadline,merged_description
https://www.ourcommons.ca/PublicationSearch/en/13411046,2024-11-08 11:16:59-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88660,Mr. Miller,"Minister of Immigration, Refugees and Citizenship) ",2024-12-08 11:16:59-04:00,"Service Fees Report of the Department of Citizenship and Immigration for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1200-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Citizenship and Immigration)"
https://www.ourcommons.ca/PublicationSearch/en/13410800,2024-11-08 11:06:42-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88961,Mr. Blair,Minister of National Defence) ,2024-12-08 11:06:42-04:00,"Report of the Judge Advocate General to the Minister of National Defence on the Administration of Military Justice for the fiscal year ended March 31, 2024, pursuant to the National Defence Act, R.S., 1985, c. N-5, sbs. 9.3(3).  — Sessional Paper No. 8560-441-735-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on National Defence)"
https://www.ourcommons.ca/PublicationSearch/en/13410515,2024-11-08 10:56:25-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88660,Mr. Miller,"Minister of Immigration, Refugees and Citizenship) ",2024-12-08 10:56:25-04:00,"Proposed Regulations Amending the Immigration and Refugee Protection Regulations, pursuant to the Immigration and Refugee Protection Act, S.C. 2001, c. 27, sbs. 5(2).  — Sessional Paper No. 8560-441-790-07. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Citizenship and Immigration)"
https://www.ourcommons.ca/PublicationSearch/en/13410082,2024-11-08 10:47:24-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89408,Mr. Duclos,Minister of Public Services and Procurement) ,2024-12-08 10:47:24-04:00,"Service Fees Report of the Department of Public Works and Government Services for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1221-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Government Operations and Estimates)"
https://www.ourcommons.ca/PublicationSearch/en/13409968,2024-11-08 10:37:18-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89300,Mr. Wilkinson,Minister of Energy and Natural Resources) ,2024-12-08 10:37:18-04:00,"Service Fees Report of the Canadian Nuclear Safety Commission for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1174-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Natural Resources)"
https://www.ourcommons.ca/PublicationSearch/en/13409956,2024-11-08 10:31:37-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89300,Mr. Wilkinson,Minister of Energy and Natural Resources) ,2024-12-08 10:31:37-04:00,"Service Fees Report of the Canada Energy Regulator for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1175-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Natural Resources)"
https://www.ourcommons.ca/PublicationSearch/en/13409947,2024-11-08 10:27:06-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89300,Mr. Wilkinson,Minister of Energy and Natural Resources) ,2024-12-08 10:27:06-04:00,"Service Fees Report of the Department of Natural Resources for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1177-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Natural Resources)"
https://www.ourcommons.ca/PublicationSearch/en/13409905,2024-11-08 10:22:14-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88633,Mr. Champagne,"Minister of Innovation, Science and Industry) ",2024-12-08 10:22:14-04:00,"Service Fees Report of Statistics Canada for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1229-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Industry and Technology)"
https://www.ourcommons.ca/PublicationSearch/en/13409889,2024-11-08 10:17:28-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88633,Mr. Champagne,"Minister of Innovation, Science and Industry) ",2024-12-08 10:17:28-04:00,"Service Fees Report of the National Research Council of Canada for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1207-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Industry and Technology)"
https://www.ourcommons.ca/PublicationSearch/en/13409811,2024-11-08 10:09:33-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88633,Mr. Champagne,"Minister of Innovation, Science and Industry) ",2024-12-08 10:09:33-04:00,"Service Fees Report of the Canadian Space Agency for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1228-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Industry and Technology)"
https://www.ourcommons.ca/PublicationSearch/en/13409800,2024-11-08 10:03:03-04:00,//www.ourcommons.ca/Parliamentarians/en/members/88633,Mr. Champagne,"Minister of Innovation, Science and Industry) ",2024-12-08 10:03:03-04:00,"Service Fees Report of the Department of Industry for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1211-05. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Industry and Technology)"
https://www.ourcommons.ca/PublicationSearch/en/13404293,2024-11-07 09:07:29-04:00,//www.ourcommons.ca/Parliamentarians/en/members/25508,Mr. Holland,Minister of Health) ,2024-12-07 09:07:29-04:00,"Service Fees Report of the Public Health Agency of Canada for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1191-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Health)"
https://www.ourcommons.ca/PublicationSearch/en/13404215,2024-11-07 08:57:42-04:00,//www.ourcommons.ca/Parliamentarians/en/members/25508,Mr. Holland,Minister of Health) ,2024-12-07 08:57:42-04:00,"Service Fees Report of the Department of Health for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1187-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Health)"
https://www.ourcommons.ca/PublicationSearch/en/13407923,2024-11-07 18:02:51-04:00,//www.ourcommons.ca/Parliamentarians/en/members/84665,Ms. Freeland,Deputy Prime Minister and Minister of Finance) ,2024-12-07 18:02:51-04:00,"List of outstanding specific legislative proposals to amend listed tax laws announced prior to April 1, 2023, pursuant to the Financial Administration Act, R.S., 1985, c. F-11, sbs. 162(2).  — Sessional Paper No. 8560-441-1078-03. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Finance)"
https://www.ourcommons.ca/PublicationSearch/en/13406800,2024-11-07 15:04:41-04:00,//www.ourcommons.ca/Parliamentarians/en/members/33,Mr. MacAulay,Minister of Agriculture and Agri-Food) ,2024-12-07 15:04:41-04:00,"Service Fees Report of the Department of Agriculture and Agri-Food for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1189-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Agriculture and Agri-Food)"
https://www.ourcommons.ca/PublicationSearch/en/13406737,2024-11-07 14:58:00-04:00,//www.ourcommons.ca/Parliamentarians/en/members/33,Mr. MacAulay,Minister of Agriculture and Agri-Food) ,2024-12-07 14:58:00-04:00,"Service Fees Report of the Canadian Grain Commission for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1190-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Agriculture and Agri-Food)"
https://www.ourcommons.ca/PublicationSearch/en/13406142,2024-11-07 13:19:13-04:00,//www.ourcommons.ca/Parliamentarians/en/members/25508,Mr. Holland,Minister of Health) ,2024-12-07 13:19:13-04:00,"Service Fees Report of the Canadian Food Inspection Agency for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1185-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Health)"
https://www.ourcommons.ca/PublicationSearch/en/13395623,2024-11-05 09:42:13-04:00,//www.ourcommons.ca/Parliamentarians/en/members/96081,Ms. Anand,President of the Treasury Board) ,2024-12-05 09:42:13-04:00,"Report on the Public Servants Disclosure Protection Act for the fiscal year ended March 31, 2024, pursuant to the Public Servants Disclosure Protection Act, S.C. 2005, c. 46, sbs. 38.1(4).  — Sessional Paper No. 8560-441-1006-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Government Operations and Estimates)"
https://www.ourcommons.ca/PublicationSearch/en/13395622,2024-11-05 09:42:06-04:00,//www.ourcommons.ca/Parliamentarians/en/members/96081,Ms. Anand,President of the Treasury Board) ,2024-12-05 09:42:06-04:00,"Service Fees Report of the Canada School of Public Service for the fiscal year ended March 31, 2024, pursuant to the Service Fees Act S.C. 2017, c. 20, s. 451 “20(1)”.  — Sessional Paper No. 8560-441-1196-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Government Operations and Estimates)"
https://www.ourcommons.ca/PublicationSearch/en/13395563,2024-11-05 09:32:59-04:00,//www.ourcommons.ca/Parliamentarians/en/members/25508,Mr. Holland,Minister of Health) ,2024-12-05 09:32:59-04:00,"Report on the National Strategy for Alzheimer's Disease and Other Dementias for the year 2024, pursuant to the National Strategy for Alzheimer's Disease and Other Dementias Act, S.C. 2017, c. 19, s. 5.  — Sessional Paper No. 8560-441-1225-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Health)"
https://www.ourcommons.ca/PublicationSearch/en/13398263,2024-11-05 15:10:05-04:00,//www.ourcommons.ca/Parliamentarians/en/members/33,Mr. MacAulay,Minister of Agriculture and Agri-Food) ,2024-12-05 15:10:05-04:00,"Copy of Order in Council P.C. 2024-835, pursuant to the Farm Income Protection Act, S.C. 1991, c. 22, sbs. 12(7).  — Sessional Paper No. 8560-441-719-05. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Agriculture and Agri-Food)"
https://www.ourcommons.ca/PublicationSearch/en/13396011,2024-11-05 11:31:16-04:00,//www.ourcommons.ca/Parliamentarians/en/members/96081,Ms. Anand,Minister of Transport) ,2024-12-05 11:31:16-04:00,"Interim Order Respecting Waivers of Compulsory Pilotage Granted by the Pacific Pilotage Authority, pursuant to the Pilotage Act, R.S., 1985, c. P-14, sbs. 52.2(8).  — Sessional Paper No. 8560-441-1289-11. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Transport, Infrastructure and Communities)"
https://www.ourcommons.ca/PublicationSearch/en/13393019,2024-11-04 15:56:55-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89497,Mr. Sajjan,"President of the King’s Privy Council for Canada, Minister of Emergency Preparedness and Minister responsible for the Pacific Economic Development Agency of Canada) ",2024-12-04 15:56:55-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Canadian Transportation Accident Investigation and Safety Board, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 11(3).  — Sessional Paper No. 8560-441-1364-02. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13391328,2024-11-04 13:34:37-04:00,//www.ourcommons.ca/Parliamentarians/en/members/96081,Ms. Anand,Minister of Transport) ,2024-12-04 13:34:37-04:00,"Report of the Canadian Transportation Agency for the fiscal year ended March 31, 2024, pursuant to the Canada Transportation Act, S.C. 1996, c. 10, sbs. 42(3).  — Sessional Paper No. 8560-441-282-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Transport, Infrastructure and Communities)"
https://www.ourcommons.ca/PublicationSearch/en/13390627,2024-11-04 12:25:28-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89449,Mr. Anandasangaree,Minister of Crown-Indigenous Relations) ,2024-12-04 12:25:28-04:00,"Annual Report of the Specific Claims Tribunal for the fiscal year ended March 31, 2024, pursuant to the Specific Claims Tribunal Act, S.C. 2008, c. 22, s. 40.  — Sessional Paper No. 8560-441-1045-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Indigenous and Northern Affairs)"
https://www.ourcommons.ca/PublicationSearch/en/13390462,2024-11-04 11:44:53-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89045,Mr. Vandal,"Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada and Minister responsible for the Canadian Northern Economic Development Agency) ",2024-12-04 11:44:53-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Department of Western Economic Diversification, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 12(2).  — Sessional Paper No. 8560-441-1123-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13385897,2024-11-01 09:59:54-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-01 09:59:54-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Royal Canadian Mounted Police External Review Committee, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 11(3).  — Sessional Paper No. 8560-441-1352-02. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13385870,2024-11-01 09:53:57-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-01 09:53:57-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Office of the Correctional Investigator of Canada, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 11(3).  — Sessional Paper No. 8560-441-1354-02. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13385832,2024-11-01 09:48:02-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-01 09:48:02-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Department of Public Safety and Emergency Preparedness, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 12(2).  — Sessional Paper No. 8560-441-1130-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13385753,2024-11-01 09:36:44-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-01 09:36:44-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Civilian Review and Complaints Commission for the Royal Canadian Mounted Police, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 11(3).  — Sessional Paper No. 8560-441-1350-02. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13385656,2024-11-01 09:25:58-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-01 09:25:58-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Canada Border Services Agency, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 11(3).  — Sessional Paper No. 8560-441-1129-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13385605,2024-11-01 09:19:01-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-01 09:19:01-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Parole Board of Canada, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 11(3).  — Sessional Paper No. 8560-441-1355-02. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13385520,2024-11-01 09:11:51-04:00,//www.ourcommons.ca/Parliamentarians/en/members/1813,Mr. LeBlanc,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs) ",2024-12-01 09:11:51-04:00,"Report of the Parole Board of Canada on the Record Suspension for the fiscal year ended March 31, 2024, pursuant to the Criminal Records Act, R.S., 1985, c. C-47, sbs. 11(2).  — Sessional Paper No. 8560-441-1066-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Public Safety and National Security)"
https://www.ourcommons.ca/PublicationSearch/en/13389866,2024-11-01 17:42:24-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89045,Mr. Vandal,"Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada and Minister responsible for the Canadian Northern Economic Development Agency) ",2024-12-01 17:42:24-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Canadian High Arctic Research Station, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 11(3).  — Sessional Paper No. 8560-441-1334-02. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13389862,2024-11-01 17:33:17-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89045,Mr. Vandal,"Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada and Minister responsible for the Canadian Northern Economic Development Agency) ",2024-12-01 17:33:17-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Canadian Northern Economic Development Agency, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 11(3).  — Sessional Paper No. 8560-441-1361-02. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
https://www.ourcommons.ca/PublicationSearch/en/13389828,2024-11-01 17:30:43-04:00,//www.ourcommons.ca/Parliamentarians/en/members/89449,Mr. Anandasangaree,Minister of Crown-Indigenous Relations) ,2024-12-01 17:30:43-04:00,"Departmental Sustainable Development Strategy Progress Report for 2023-24 of the Department of Crown-Indigenous Relations and Northern Affairs, pursuant to the Federal Sustainable Development Act, S.C. 2008, c. 33, sbs. 12(2).  — Sessional Paper No. 8560-441-1253-04. (Pursuant to Standing Order 32(5), permanently referred to the Standing Committee on Environment and Sustainable Development)"
